"source","snapshot_date","destination","region","hotel","check_in","check_out","nights","meal","stars","transport","price_per_person_eur","price_group_eur","price_per_person_per_night_eur","confidence","archive_url"
"Fischer.sk Wayback","2025-07-09","arabske-emiraty","arabske-emiraty","bab al qasr a beach resort a spa","2025-07-09","2025-07-16","7","All inclusive","5","Letecky","2016","","288","HIGH - URL parameter DI=AI, MT=stars, PC price parsed from archived Fischer URL","https://web.archive.org/web/20250709032244id_/https://www.fischer.sk/arabske-emiraty/arabske-emiraty/abu-dhabi/bab-al-qasr-a-beach-resort-a-spa?DS=16384&GIATA=431500&D=64086%7C64087%7C64089%7C64090%7C64091%7C64092%7C64093%7C64094%7C64095%7C64096&HID=8863&MT=5&DI=AI&RCS=DR01&NN=7&MNN=7&NNM=7&DF=2025-07-02%7C2025-07-30&RD=2025-07-16&DD=2025-07-09&ERM=0&TO=4312&TT=1&PID=AUH75133&DPR=FISCHER+ATCOM&PC=29890445%2F2%2F2016%2F7&IFC=112607513%2F419168&OFC=112607506%2F419167"
"Fischer.sk Wayback","2025-07-09","arabske-emiraty","arabske-emiraty","riu hotel dubai","2025-07-19","2025-07-26","7","All inclusive","5","Letecky","2026","","289,43","HIGH - URL parameter DI=AI, MT=stars, PC price parsed from archived Fischer URL","https://web.archive.org/web/20250709033053id_/https://www.fischer.sk/arabske-emiraty/arabske-emiraty/dubaj/riu-hotel-dubai?DS=16384&GIATA=1226537&D=64086%7C64087%7C64089%7C64090%7C64091%7C64092%7C64093%7C64094%7C64095%7C64096&HID=128620&MT=5&DI=AI&RCS=DR02&NN=7&MNN=7&NNM=7&DF=2025-07-12%7C2025-08-09&RD=2025-07-26&DD=2025-07-19&ERM=0&TO=4312&TT=1&PID=DXB10206&DPR=FISCHER+ATCOM&PC=1339983%2F2%2F2026%2F7&IFC=99547082%2F381122&OFC=99546527%2F381121"
"Invia.sk Wayback","2025-07-08","bahrajn","-","vida beach resort marassi al bahrain","2025-07-11","2025-07-18","7","All inclusive","","Letecky","1293","2586","18471","MEDIUM - mealId 5 and page description indicates All Inclusive; sample mealName was null","https://web.archive.org/web/20250708172138id_/https://www.invia.sk/hotel/bahrajn/-/vida-beach-resort-marassi-al-bahrain/zajazd/?s_offer_id=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJwcm92aWRlclByZWZpeCI6IklOVkYiLCJ0ZXJtSWQiOiI0MTg0NzEzODUiLCJ0b3VyT3BlcmF0b3JJZCI6MTIxLCJjaGVja0luRGF0ZSI6IjIwMjUwNzExIiwiY2hlY2tPdXREYXRlIjoiMjAyNTA3MTgiLCJkYXlzQ291bnQiOjgsImhvdGVsSWQiOjQ0MjE0OCwidG91cklkIjoxNzM4NjUxLCJ0cmFuc3BvcnRhdGlvbklkIjozLCJkZXBhcnR1cmVBaXJwb3J0Ijo1LCJvdXRib3VuZEZsaWdodERlcGFydHVyZURhdGUiOm51bGwsIm1lYWxJZCI6NSwiZGljdFJvb21JZCI6MTAwMTM2NjQ5NSwiZmxpZ2h0SW5mb0lkIjoxMDg1ODg3NDgyLCJwYXNzZW5nZXJzIjoiQUEiLCJjb3VudHJ5SWQiOjIxNSwibG9jYWxpdHlJZCI6bnVsbCwib3JpZ2luYWxUb3RhbFByaWNlIjoyNTg2LjAsIm9yaWdpbmFsQ3VycmVuY3lJZCI6M30.2Jzp_8m0kI1YtwmRyTLRp-qMB-uCqHLIrtycOd3ENoo&c_price_unit=1293&c_price_group=2586&nl_nights=7&aid=4800874&adata1=ultra"
"Invia.sk Wayback","2025-07-08","cyprus","severny-cyprus","kaya artemis","2025-07-11","2025-07-18","7","Ultra All inclusive","","Letecky","1307","2614","18671","HIGH - page sample confirmed mealName Ultra All inclusive","https://web.archive.org/web/20250708172025id_/https://www.invia.sk/hotel/cyprus/severny-cyprus/kaya-artemis/zajazd/?s_offer_id=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJwcm92aWRlclByZWZpeCI6IklOVkYiLCJ0ZXJtSWQiOiI0MjA5NzY3MzkiLCJ0b3VyT3BlcmF0b3JJZCI6MTAyNTQ3LCJjaGVja0luRGF0ZSI6IjIwMjUwNzExIiwiY2hlY2tPdXREYXRlIjoiMjAyNTA3MTgiLCJkYXlzQ291bnQiOjgsImhvdGVsSWQiOjYzMDY1LCJ0b3VySWQiOjE3NjQyNTcsInRyYW5zcG9ydGF0aW9uSWQiOjMsImRlcGFydHVyZUFpcnBvcnQiOjIxLCJvdXRib3VuZEZsaWdodERlcGFydHVyZURhdGUiOiIyMDI1MDcxMVQxOTI1IiwibWVhbElkIjoxMSwiZGljdFJvb21JZCI6OTk0MjM4MTAyLCJmbGlnaHRJbmZvSWQiOjExMTY4NjYzMDIsInBhc3NlbmdlcnMiOiJBQSIsImNvdW50cnlJZCI6MjksImxvY2FsaXR5SWQiOjgzNSwib3JpZ2luYWxUb3RhbFByaWNlIjoyNjE0LjAsIm9yaWdpbmFsQ3VycmVuY3lJZCI6M30.G0JQSu7P8GrNOh2FfTp999qVnc85qnEg9YKjnE53eCY&c_price_unit=1307&c_price_group=2614&nl_nights=7&aid=4800874&adata1=ultra"
"Invia.sk Wayback","2025-07-08","kuba","varadero","gran caribe club kawama","2025-07-19","2025-07-27","7","All inclusive","","Letecky","2230","4460","31857","MEDIUM - mealId 5 and page description indicates All Inclusive; sample mealName was null","https://web.archive.org/web/20250708172359id_/https://www.invia.sk/hotel/kuba/varadero/gran-caribe-club-kawama/zajazd/?s_offer_id=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJwcm92aWRlclByZWZpeCI6IklOVkYiLCJ0ZXJtSWQiOiI0NDEwMzkxMjEiLCJ0b3VyT3BlcmF0b3JJZCI6MTAxNzc4LCJjaGVja0luRGF0ZSI6IjIwMjUwNzE5IiwiY2hlY2tPdXREYXRlIjoiMjAyNTA3MjciLCJkYXlzQ291bnQiOjksImhvdGVsSWQiOjQ4ODYsInRvdXJJZCI6MTg4MDU5OSwidHJhbnNwb3J0YXRpb25JZCI6MywiZGVwYXJ0dXJlQWlycG9ydCI6MSwib3V0Ym91bmRGbGlnaHREZXBhcnR1cmVEYXRlIjpudWxsLCJtZWFsSWQiOjUsImRpY3RSb29tSWQiOjEwNjg2MDU0NjUsImZsaWdodEluZm9JZCI6MTE0OTAwNDcyOCwicGFzc2VuZ2VycyI6IkFBIiwiY291bnRyeUlkIjoxNywibG9jYWxpdHlJZCI6Mzk3LCJvcmlnaW5hbFRvdGFsUHJpY2UiOjQ0NjAuMCwib3JpZ2luYWxDdXJyZW5jeUlkIjozfQ.c7xiLLMVWZZMp6rfWUPGpZ9XS8lo2emSIZbHRMJGSh0&c_price_unit=2230&c_price_group=4460&nl_nights=7&aid=4800874&adata1=zajtra"
"Invia.sk Wayback","2025-07-08","spanielsko","mallorca","viva cala mesquida club spa","2025-07-05","2025-07-12","7","All inclusive","","Letecky","2159","4319","30843","MEDIUM - mealId 5 and page description indicates All Inclusive; sample mealName was null","https://web.archive.org/web/20250708183900id_/https://www.invia.sk/hotel/spanielsko/mallorca/viva-cala-mesquida-club-spa/zajazd/?s_offer_id=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJwcm92aWRlclByZWZpeCI6IklOVkYiLCJ0ZXJtSWQiOiI0MjQyMDA5MTAiLCJ0b3VyT3BlcmF0b3JJZCI6MTAyNTUyLCJjaGVja0luRGF0ZSI6IjIwMjUwNzA1IiwiY2hlY2tPdXREYXRlIjoiMjAyNTA3MTIiLCJkYXlzQ291bnQiOjgsImhvdGVsSWQiOjg0OTIyLCJ0b3VySWQiOjE4NzUwNzAsInRyYW5zcG9ydGF0aW9uSWQiOjMsImRlcGFydHVyZUFpcnBvcnQiOjYsIm91dGJvdW5kRmxpZ2h0RGVwYXJ0dXJlRGF0ZSI6IjIwMjUwNzA1VDE3MTUiLCJtZWFsSWQiOjUsImRpY3RSb29tSWQiOjExNTE1Mzg0OTIsImZsaWdodEluZm9JZCI6MTIyMTMzNjAwNSwicGFzc2VuZ2VycyI6IkFBIiwiY291bnRyeUlkIjozMCwibG9jYWxpdHlJZCI6MjUsIm9yaWdpbmFsVG90YWxQcmljZSI6NDMxOS4wLCJvcmlnaW5hbEN1cnJlbmN5SWQiOjN9.-_4pV0R1S9252Nbj2KzxE3wxaODtH-V1q2bnYb7JxV0&c_price_unit=2159&c_price_group=4319&nl_nights=7&aid=4800874&adata1=zajtra"
"Invia.sk Wayback","2025-07-08","turecko","side","aletris deluxe hotel","2025-07-23","","4","All inclusive","","Letecky","778","1556","1945","MEDIUM - mealId 5 and page description indicates All Inclusive; sample mealName was null","https://web.archive.org/web/20250708165815id_/https://www.invia.sk/hotel/turecko/side/aletris-deluxe-hotel/zajazd/?s_offer_id=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJwcm92aWRlclByZWZpeCI6IlRVSSIsIm9mZmVySWQiOiJQUkdBWVQyMDI1MDcyMzExNTAyMDI1MDcyMzIwMjUwNzI3MjIyMEwwNEFZVDQwMDIzRFpYMUFBMDIiLCJkYXRlRnJvbSI6IjIwMjUwNzIzIiwiZGF0ZVRvIjoiMjAyNTA3MjgiLCJkYXlzQ291bnQiOjYsImhvdGVsSWQiOjQzMjYwMSwidG91cklkIjoxNzQyNzI2LCJ0ZXJtSWQiOjQ0MDMxMjM3MCwidHJhbnNwb3J0YXRpb25JZCI6MywiYWlycG9ydElkIjoxLCJvdXRib3VuZEZsaWdodERlcGFydHVyZURhdGVUaW1lIjoiMjAyNTA3MjNUMTE1MCIsIm1lYWxJZCI6NSwiZGljdFJvb21JZCI6OTg5MTA0NDUxLCJyb29tQ29kZSI6IkRaWDEiLCJwYXNzZW5nZXJzIjoiQUEiLCJjb3VudHJ5SWQiOjMxLCJsb2NhbGl0eUlkIjoyMjMsImV4dGVybmFsU291cmNlTGVuZ3RoT2ZTdGF5Ijo0LCJvcmlnaW5hbFRvdGFsUHJpY2UiOjE1NTYuMCwib3JpZ2luYWxDdXJyZW5jeUlkIjozLCJ0b3VyT3BlcmF0b3JJZCI6MTAyNTY5fQ.LCU3ZCgWn2XAUiklfRgtFPrbFJdAGlNHxjURHQ6u7R0&c_price_unit=778&c_price_group=1556&nl_nights=4&aid=4800874&adata1=zajtra"
"Invia.sk Wayback","2025-07-08","turecko","side","orfeus queen","2025-07-17","2025-07-24","7","All inclusive","","Letecky","962","1924","13743","MEDIUM - mealId 5 and page description indicates All Inclusive; sample mealName was null","https://web.archive.org/web/20250708180236id_/https://www.invia.sk/hotel/turecko/side/orfeus-queen/zajazd/?s_offer_id=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJwcm92aWRlclByZWZpeCI6IklOVkYiLCJ0ZXJtSWQiOiI0MzY4ODc2NzQiLCJ0b3VyT3BlcmF0b3JJZCI6MTAwLCJjaGVja0luRGF0ZSI6IjIwMjUwNzE3IiwiY2hlY2tPdXREYXRlIjoiMjAyNTA3MjQiLCJkYXlzQ291bnQiOjgsImhvdGVsSWQiOjExMTUxOSwidG91cklkIjoxNzEyNzU0LCJ0cmFuc3BvcnRhdGlvbklkIjozLCJkZXBhcnR1cmVBaXJwb3J0IjoxMywib3V0Ym91bmRGbGlnaHREZXBhcnR1cmVEYXRlIjoiMjAyNTA3MTdUMDk1MCIsIm1lYWxJZCI6NSwiZGljdFJvb21JZCI6OTg1NjQ3MDA2LCJmbGlnaHRJbmZvSWQiOjExOTU0NDM2MDAsInBhc3NlbmdlcnMiOiJBQSIsImNvdW50cnlJZCI6MzEsImxvY2FsaXR5SWQiOjIyMywib3JpZ2luYWxUb3RhbFByaWNlIjoxOTI0LjAsIm9yaWdpbmFsQ3VycmVuY3lJZCI6M30.DkTfc-KOYotevYWvYbexdI6_nwnUtFgDbOuSsRzpujQ&c_price_unit=962&c_price_group=1924&nl_nights=7&aid=4800874&adata1=ultra"
"Invia.sk Wayback","2025-07-08","turecko","kemer","transatlantik hotel spa","2025-07-15","2025-07-23","8","Ultra All inclusive","","Letecky","1143","2286","14288","HIGH - page sample confirmed mealName Ultra All inclusive","https://web.archive.org/web/20250708181157id_/https://www.invia.sk/hotel/turecko/kemer/transatlantik-hotel-spa/zajazd/?s_offer_id=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJwcm92aWRlclByZWZpeCI6IklOVkYiLCJ0ZXJtSWQiOiIzOTcwODQwMDAiLCJ0b3VyT3BlcmF0b3JJZCI6MTAyNTUyLCJjaGVja0luRGF0ZSI6IjIwMjUwNzE1IiwiY2hlY2tPdXREYXRlIjoiMjAyNTA3MjMiLCJkYXlzQ291bnQiOjksImhvdGVsSWQiOjExODU2OCwidG91cklkIjoxNzQzMzM0LCJ0cmFuc3BvcnRhdGlvbklkIjozLCJkZXBhcnR1cmVBaXJwb3J0Ijo2LCJvdXRib3VuZEZsaWdodERlcGFydHVyZURhdGUiOiIyMDI1MDcxNVQxMDE1IiwibWVhbElkIjoxMSwiZGljdFJvb21JZCI6OTg5NDIyODI0LCJmbGlnaHRJbmZvSWQiOjExMzkzMTkyMjMsInBhc3NlbmdlcnMiOiJBQSIsImNvdW50cnlJZCI6MzEsImxvY2FsaXR5SWQiOjI4NCwib3JpZ2luYWxUb3RhbFByaWNlIjoyMjg2LjAsIm9yaWdpbmFsQ3VycmVuY3lJZCI6M30.AqssOm3x3bC9cm-FgsFscNpAhYwYUz88h1nd20rl_Fw&c_price_unit=1143&c_price_group=2286&nl_nights=8&aid=4800874&adata1=konecna"
"Invia.sk Wayback","2025-07-08","turecko","side","blue waters club","2025-07-02","2025-07-09","7","All inclusive","","Letecky","1532","3064","21886","MEDIUM - mealId 5 and page description indicates All Inclusive; sample mealName was null","https://web.archive.org/web/20250708184604id_/https://www.invia.sk/hotel/turecko/side/blue-waters-club/zajazd/?s_offer_id=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJwcm92aWRlclByZWZpeCI6IklOVkYiLCJ0ZXJtSWQiOiI0MTUzNjE0NDMiLCJ0b3VyT3BlcmF0b3JJZCI6MTAwLCJjaGVja0luRGF0ZSI6IjIwMjUwNzAyIiwiY2hlY2tPdXREYXRlIjoiMjAyNTA3MDkiLCJkYXlzQ291bnQiOjgsImhvdGVsSWQiOjU0ODc3LCJ0b3VySWQiOjE3MTE0MTYsInRyYW5zcG9ydGF0aW9uSWQiOjMsImRlcGFydHVyZUFpcnBvcnQiOjUsIm91dGJvdW5kRmxpZ2h0RGVwYXJ0dXJlRGF0ZSI6IjIwMjUwNzAyVDE3MjAiLCJtZWFsSWQiOjUsImRpY3RSb29tSWQiOjk4MDgwOTg4MiwiZmxpZ2h0SW5mb0lkIjoxMjM1Mzk2NjM1LCJwYXNzZW5nZXJzIjoiQUEiLCJjb3VudHJ5SWQiOjMxLCJsb2NhbGl0eUlkIjoyMjMsIm9yaWdpbmFsVG90YWxQcmljZSI6MzA2NC4wLCJvcmlnaW5hbEN1cnJlbmN5SWQiOjN9.NgE3mZXmbVsvm_HOT7S1rflcLOfcppX9YYUTQTOX7QQ&c_price_unit=1532&c_price_group=3064&nl_nights=7&aid=4800874&adata1=konecna"
